binomial,family,family_correct,binomial_correct
Japalura zhaoermii,Agamidae,Agamidae,Diploderma zhaoermii
Celestus bivittatus,Diploglossidae,Agamidae,Diploglossus bivittatus
Diporiphora adductus,Agamidae,Agamidae,Diporiphora adductus
Diporiphora albilabris,Agamidae,Agamidae,Diporiphora albilabris
Diporiphora ameliae,Agamidae,Agamidae,Diporiphora ameliae
Diporiphora amphiboluroides,Agamidae,Agamidae,Diporiphora amphiboluroides
Diporiphora australis,Agamidae,Agamidae,Diporiphora australis
Diporiphora bennettii,Agamidae,Agamidae,Diporiphora bennettii
Diporiphora arnhemica,Agamidae,Agamidae,Diporiphora bennettii
Diporiphora bilineata,Agamidae,Agamidae,Diporiphora bilineata
Diporiphora convergens,Agamidae,Agamidae,Diporiphora convergens
Diporiphora lalliae,Agamidae,Agamidae,Diporiphora lalliae
Diporiphora linga,Agamidae,Agamidae,Diporiphora linga
Diporiphora magna,Agamidae,Agamidae,Diporiphora magna
Diporiphora margaretae,Agamidae,Agamidae,Diporiphora margaretae
Diporiphora nobbi,Agamidae,Agamidae,Diporiphora nobbi
Diporiphora paraconvergens,Agamidae,Agamidae,Diporiphora paraconvergens
Diporiphora phaeospinosa,Agamidae,Agamidae,Diporiphora phaeospinosa
Diporiphora pindan,Agamidae,Agamidae,Diporiphora pindan
Diporiphora reginae,Agamidae,Agamidae,Diporiphora reginae
Diporiphora superba,Agamidae,Agamidae,Diporiphora superba
Diporiphora valens,Agamidae,Agamidae,Diporiphora valens
Diporiphora vescus,Agamidae,Agamidae,Diporiphora vescus
Diporiphora winneckei,Agamidae,Agamidae,Diporiphora winneckei
Draco beccarii,Agamidae,Agamidae,Draco beccarii
Draco biaro,Agamidae,Agamidae,Draco biaro
Draco bimaculatus,Agamidae,Agamidae,Draco bimaculatus
Draco blanfordii,Agamidae,Agamidae,Draco blanfordii
Draco boschmai,Agamidae,Agamidae,Draco boschmai
Draco caerulhians,Agamidae,Agamidae,Draco caerulhians
Draco cornutus,Agamidae,Agamidae,Draco cornutus
Draco cristatellus,Agamidae,Agamidae,Draco cristatellus
Draco cyanopterus,Agamidae,Agamidae,Draco cyanopterus
Draco dussumieri,Agamidae,Agamidae,Draco dussumieri
Draco fimbriatus,Agamidae,Agamidae,Draco fimbriatus
Draco formosus,Agamidae,Agamidae,Draco formosus
Draco guentheri,Agamidae,Agamidae,Draco guentheri
Draco haematopogon,Agamidae,Agamidae,Draco haematopogon
Draco indochinensis,Agamidae,Agamidae,Draco indochinensis
Draco jareckii,Agamidae,Agamidae,Draco jareckii
Draco bourouniensis,Agamidae,Agamidae,Draco lineatus
Draco lineatus,Agamidae,Agamidae,Draco lineatus
Draco maculatus,Agamidae,Agamidae,Draco maculatus
Draco maximus,Agamidae,Agamidae,Draco maximus
Draco melanopogon,Agamidae,Agamidae,Draco melanopogon
Draco mindanensis,Agamidae,Agamidae,Draco mindanensis
Draco modiglianii,Agamidae,Agamidae,Draco modiglianii
Draco norvillii,Agamidae,Agamidae,Draco norvillii
Draco obscurus,Agamidae,Agamidae,Draco obscurus
Draco ornatus,Agamidae,Agamidae,Draco ornatus
Draco palawanensis,Agamidae,Agamidae,Draco palawanensis
Draco quadrasi,Agamidae,Agamidae,Draco quadrasi
Draco quinquefasciatus,Agamidae,Agamidae,Draco quinquefasciatus
Draco reticulatus,Agamidae,Agamidae,Draco reticulatus
Draco rhytisma,Agamidae,Agamidae,Draco rhytisma
Draco spilonotus,Agamidae,Agamidae,Draco spilonotus
Draco spilopterus,Agamidae,Agamidae,Draco spilopterus
Draco sumatranus,Agamidae,Agamidae,Draco sumatranus
Draco taeniopterus,Agamidae,Agamidae,Draco taeniopterus
Draco timorensis,Agamidae,Agamidae,Draco timoriensis
Draco timoriensis,Agamidae,Agamidae,Draco timoriensis
Draco volans,Agamidae,Agamidae,Draco volans
Draco walkeri,Agamidae,Agamidae,Draco walkeri
Gonocephalus abbotti,Agamidae,Agamidae,Gonocephalus abbotti
Gonocephalus bellii,Agamidae,Agamidae,Gonocephalus bellii
Gonocephalus beyschlagi,Agamidae,Agamidae,Gonocephalus beyschlagi
Gonocephalus bornensis,Agamidae,Agamidae,Gonocephalus bornensis
Gonocephalus chamaeleontinus,Agamidae,Agamidae,Gonocephalus chamaeleontinus
Gonocephalus doriae,Agamidae,Agamidae,Gonocephalus doriae
Gonocephalus grandis,Agamidae,Agamidae,Gonocephalus grandis
Gonocephalus interruptus,Agamidae,Agamidae,Gonocephalus interruptus
Gonocephalus klossi,Agamidae,Agamidae,Gonocephalus klossi
Gonocephalus kuhlii,Agamidae,Agamidae,Gonocephalus kuhlii
Gonocephalus lacunosus,Agamidae,Agamidae,Gonocephalus lacunosus
Gonocephalus liogaster,Agamidae,Agamidae,Gonocephalus liogaster
Gonocephalus megalepis,Agamidae,Agamidae,Gonocephalus megalepis
Gonocephalus mjobergi,Agamidae,Agamidae,Gonocephalus mjobergi
Gonocephalus semperi,Agamidae,Agamidae,Gonocephalus semperi
Gonocephalus sophiae,Agamidae,Agamidae,Gonocephalus sophiae
Gowidon longirostris,Agamidae,Agamidae,Gowidon longirostris
Harpesaurus beccarii,Agamidae,Agamidae,Harpesaurus beccarii
Harpesaurus borneensis,Agamidae,Agamidae,Harpesaurus borneensis
Thaumatorhynchus brooksi,Agamidae,Agamidae,Harpesaurus brooksi
Harpesaurus tricinctus,Agamidae,Agamidae,Harpesaurus tricinctus
Hydrosaurus amboinensis,Agamidae,Agamidae,Hydrosaurus amboinensis
Hydrosaurus celebensis,Agamidae,Agamidae,Hydrosaurus celebensis
Hydrosaurus microlophus,Agamidae,Agamidae,Hydrosaurus microlophus
Hydrosaurus pustulatus,Agamidae,Agamidae,Hydrosaurus pustulatus
Hydrosaurus weberi,Agamidae,Agamidae,Hydrosaurus weberi
Hypsilurus auritus,Agamidae,Agamidae,Hypsilurus auritus
Hypsilurus binotatus,Agamidae,Agamidae,Hypsilurus binotatus
Hypsilurus bruijnii,Agamidae,Agamidae,Hypsilurus bruijnii
Hypsilurus capreolatus,Agamidae,Agamidae,Hypsilurus capreolatus
Hypsilurus geelvinkianus,Agamidae,Agamidae,Hypsilurus geelvinkianus
Hypsilurus godeffroyi,Agamidae,Agamidae,Hypsilurus godeffroyi
Hypsilurus hikidanus,Agamidae,Agamidae,Hypsilurus hikidanus
Hypsilurus longi,Agamidae,Agamidae,Hypsilurus longi
Hypsilurus macrolepis,Agamidae,Agamidae,Hypsilurus macrolepis
Hypsilurus magnus,Agamidae,Agamidae,Hypsilurus magnus
Hypsilurus modestus,Agamidae,Agamidae,Hypsilurus modestus
Hypsilurus nigrigularis,Agamidae,Agamidae,Hypsilurus nigrigularis
Hypsilurus papuensis,Agamidae,Agamidae,Hypsilurus papuensis
